Name,City,State,"Coordi,ats",Ratings
PfutseroLake,Kohima,Nagaland,"25.5692,94.2918",4.1
NamdaphaNationalPark&TigerReserve,MiaoChanglang,ArunachalPradesh,"27.4455,96.5358",4.5
GoldenPagoda,Namsai,ArunachalPradesh,"27.7725,95.9748",4.6
PakkeTigerReserve,Kameng,ArunachalPradesh,"27.0984,92.8178",4.3
TawangMonastery,Tawang,ArunachalPradesh,"27.5867,91.8577",4.6
SelaPass,Tawang,ArunachalPradesh,"27.5035,92.1044",4.8
BumLaPass,Tawang,ArunachalPradesh,"27.7580,91.7818",4.8
DeopaniBridge,Roing,ArunachalPradesh,"28.1589,95.8469",4.5
HawaCamp(LohitView),Lohit,ArunachalPradesh,"27.9324,96.3504",4.6
Gompatemple,Itanagar,ArunachalPradesh,"3205′26″,7812′43″",4.4
ItaFort,Itanagar,ArunachalPradesh,"27.092,93.632",3.9
Ziro,Subansiri,ArunachalPradesh,"27.5449,93.8197",4
Tezu,Lohitdistrict,ArunachalPradesh,"27.9277,96.1533",4.1
BomdilaMonastery,Bomdila,ArunachalPradesh,"27.2705,92.4186",4.6
NuranangFalls,Tawang,ArunachalPradesh,"27.5895355,91.9840622",4
Daporijo,Subansiri,ArunachalPradesh,"27.9863,94.2205",4.5
KamakhyaTemple,Guwahati,Assam,"26.1664,91.7052",4.5
KazirangaNationalPark,Kanchanjuri,Assam,"26.5775,93.1711",4.5
ManasNationalPark,Gobardhana,Assam,"26.6594,91.0011",4.4
NameriNationalParkAndForestReserve,Sonitpur,Assam,"26.9324,92.8772",4.3
PobitoraWildlifeSanctuary,Morigaon,Assam,"26.2306,92.0543",4.4
UmanandaTemple,BaruahSouk,Assam,"26.1965,91.7448",4.5
AssamStateMuseum,Mawhati,Assam,"26.1853352,91.7519043",4.3
Majuli,BrahmaputraRiver,Assam,"27.0016,94.2243",4.5
KakochangWaterfall,DifflooGrant,Assam,"26.7465,94.2026",4.4
OrangNationalPark,Orang,Assam,"26.5538,92.3320",4.2
GuwahatiPlanetarium,UzanBazar,Assam,"26.1914,91.7520",4.3
AssamStateZoocumBotanicalGarden,Guwahati,Assam,"26.1632,91.7868",4.1
PeacockIsland,Guwahati,Assam,"26.1965,91.7449",4.4
SrimantaSankaradevaKalakshetra,Batahguli,Assam,"26.1308,91.8224",4.4
